"nom_chanson";"nom_album";"date_sortie";"nom_artiste"
"Ya habibi taala (Mon amour, viens vite)";"Le coeur a ses raisons";"1935";""
"Sahirtou toul el leil (J'ai veillé toute la nuit)";"Le coeur a ses raisons";"1935";"Asmahan"
"Enta hataraf";"Ahwa";"1938";"Asmaham"
"Mademoiselle Chante le blues";"Mademoiselle Chante";"1988";""
"Des mensonges En Musique";"Mademoiselle Chante";"1988";"Patricia kaas"
"Tears of gold";"you don't know me ";"2019";"Faouzia"
"love me now";"Darkness and Light";"2016";"Jhon legend"
"Harder to Breathe";"Songs About Jane";"2002";"Maroon 5"
"Les hommes qui passent";"Scéne de vie";"1990";"Patricia Kaas"
"If you Go away";"Paino Bar";"2002";"Patricia Kaas"
"Bambino";"Son nom est Dalida";"1957";"Dalida"
"Going Under";"Fallen";"2002";"Evanescence"
"This love";"Songs About Jane";"2002";"Maroon 5"
"Hanted";"Fallen";"2002";"Evanescence"
"Dusk till Dawn";"Icarus Falls";"2018";"zayn malik"
"Diggin'";"Shades of Black";"2015";""
"Shiver ";"Songs About Jane";"2002";"Maroon 5"
"She Will Be Loved ";"Songs About Jane";"2002";"Maroon 5"
"Tangled ";"Songs About Jane";"2002";"Maroon 5"
"The Sun ";"Songs About Jane";"2002";"Maroon 5"
"Must Get Out ";"Songs About Jane";"2002";"Maroon 5"
"Sunday Morning ";"Songs About Jane";"2002";"Maroon 5"
"Secret ";"Songs About Jane";"2002";"Maroon 5"
"Through with You ";"Songs About Jane";"2002";"Maroon 5"
"Not Coming Home ";"Songs About Jane";"2002";"Maroon 5"
"Sweetest Goodbye ";"Songs About Jane";"2002";"Maroon 5"
"I want it that way";"Millennium";"1999";"Backstreet Boys"
"Curtains Up";"Encore";"2004";"Eminem"
"Evil Deeds";"Encore";"2004";"Eminem"
"Never Enough";"Encore";"2004";"Eminem"
"Yellow Brick Road";"Encore";"2004";"Eminem"
"Like Toy Soldiers";"Encore";"2004";"Eminem"
"Mosh";"Encore";"2004";"Eminem"
"Puke";"Encore";"2004";"Eminem"
"My 1st Single";"Encore";"2004";"Eminem"
"Paul";"Encore";"2004";"Eminem"
"Rain Man";"Encore";"2004";"Eminem"
"Big Weenie";"Encore";"2004";"Eminem"
"";"Encore";"2004";"Eminem"
"Just Lose It";"Encore";"2004";"Eminem"
"Ass Like That";"Encore";"2004";"Eminem"
"Spend Some Time";"Encore";"2004";"Eminem"
"Mockingbird";"Encore";"2004";"Eminem"
"Crazy in Love";"Encore";"2004";"Eminem"
"One Shot 2 Shot";"Encore";"2004";"Eminem"
"Final Thought";"Encore";"2004";"Eminem"
"Encore/Curtains Down";"Encore";"2004";"Eminem"
"What's My Name?";"Loud";"2010";"Rihanna"
"California King Bed";"Loud";"2010";"Rihanna"
